timestamp_ns,measurement_elapsed_ms,fps,frame_time_ms,frame_e2e_ms,total_ms,rank_ms,sort_ms,inverse_ms,projection_ms,rendering_ms,present_ms,total_splats,loaded_splats,visible_splats,visible_ratio,width,height,model_type,draw_method,msaa,vsync,mip_bias,mip_modulation,log_p_min
1781756275976687014,0,294.667,3.39366,3.34349,3.32106,0.134208,0.2296,0.060416,0.847872,2.04896,0.021365,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756275980227348,3.54033,294.394,3.39681,3.59686,3.57318,0.132416,0.230528,0.059392,0.950272,2.20058,0.017466,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756275983641340,6.95433,294.111,3.40008,3.40352,3.37981,0.147552,0.228992,0.059392,0.894976,2.0489,0.016647,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756275987184213,10.4972,294.2,3.39905,3.47024,3.44576,0.143904,0.229952,0.059296,0.847872,2.16474,0.021393,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756275990505910,13.8189,294.034,3.40097,3.25712,3.2335,0.13632,0.228768,0.059392,0.760224,2.0488,0.022708,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756275993793637,17.1066,294.156,3.39956,3.34045,3.3168,0.133984,0.229856,0.059264,0.8448,2.0489,0.01759,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756275997434270,20.7473,294.154,3.39958,3.58659,3.56426,0.131968,0.230368,0.059392,0.925696,2.21683,0.015679,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276000699298,24.0123,293.677,3.4051,3.2671,3.24397,0.149376,0.228416,0.059392,0.758784,2.048,0.015642,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276004087986,27.401,294.206,3.39897,3.36733,3.34525,0.133952,0.229504,0.059392,0.756736,2.16566,0.016985,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276007421465,30.7345,294.057,3.4007,3.25715,3.23334,0.136352,0.232,0.058368,0.75776,2.04886,0.023171,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276010991004,34.304,294.146,3.39968,3.34214,3.31754,0.134336,0.22896,0.059392,0.845824,2.04902,0.03074,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276014534045,37.847,293.666,3.40523,3.59632,3.57286,0.134528,0.231392,0.059392,0.932864,2.21469,0.02778,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276017881336,41.1943,293.313,3.40932,3.35322,3.33066,0.14992,0.22848,0.059456,0.843776,2.04902,0.026363,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276021366178,44.6792,293.782,3.40388,3.46208,3.43917,0.13344,0.231872,0.0592,0.848896,2.16576,0.025721,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276024647713,47.9607,293.464,3.40758,3.25664,3.23261,0.13584,0.229664,0.059296,0.759808,2.048,0.029952,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276028104704,51.4177,293.652,3.40539,3.44778,3.4247,0.13344,0.229632,0.059392,0.759808,2.24243,0.024352,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276031665307,54.9783,293.39,3.40843,3.49123,3.46749,0.149632,0.228448,0.059392,0.98304,2.04698,0.02867,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276034948600,58.2616,293.017,3.41277,3.24819,3.22496,0.134592,0.230272,0.059392,0.750656,2.05005,0.027024,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276038387736,61.7007,293.561,3.40644,3.37837,3.35674,0.134304,0.229536,0.06016,0.883712,2.04902,0.037122,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276041616863,64.9298,293.242,3.41015,3.25718,3.23293,0.133312,0.230624,0.059328,0.760832,2.04883,0.031809,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276045132307,68.4453,293.522,3.4069,3.51142,3.48816,0.133856,0.22992,0.059392,0.844192,2.2208,0.025729,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276048608578,71.9216,293.165,3.41105,3.43254,3.41021,0.138016,0.229888,0.059392,0.933888,2.04902,0.027682,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276051853631,75.1666,292.893,3.41421,3.24957,3.22483,0.134944,0.229216,0.058368,0.753664,2.04864,0.024926,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276055442647,78.7556,293.473,3.40747,3.51523,3.4919,0.134336,0.230272,0.059392,0.89088,2.17702,0.02749,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276058719594,82.0326,292.973,3.41329,3.25853,3.23354,0.13568,0.22864,0.059392,0.760832,2.04899,0.02696,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276062150886,85.4639,293.161,3.4111,3.4377,3.4144,0.134624,0.23024,0.059456,0.765952,2.22413,0.024996,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276065569297,88.8823,292.931,3.41377,3.40893,3.38518,0.14992,0.228096,0.059072,0.899072,2.04902,0.023938,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276068843239,92.1562,292.767,3.41569,3.25133,3.22861,0.133632,0.229824,0.059392,0.756736,2.04902,0.023922,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276072257054,95.57,293.285,3.40965,3.38752,3.3641,0.13424,0.229504,0.059424,0.89088,2.05005,0.02579,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276075562101,98.8751,293.097,3.41183,3.26221,3.23939,0.13424,0.229632,0.059424,0.767264,2.04883,0.024528,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276079050872,102.364,293.241,3.41016,3.48224,3.45882,0.134144,0.229152,0.059392,0.76288,2.27325,0.024212,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276082482322,105.795,292.929,3.41379,3.40506,3.38189,0.148736,0.227552,0.059392,0.897216,2.04899,0.023066,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276085754836,109.068,293.038,3.41252,3.25418,3.2311,0.1344,0.230368,0.059392,0.757024,2.04992,0.023134,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276089165157,112.478,293.295,3.40954,3.38784,3.36442,0.134368,0.22896,0.059392,0.891904,2.04979,0.023134,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
1781756276092442795,115.756,293.075,3.41209,3.25747,3.23421,0.134144,0.229696,0.059488,0.761856,2.04902,0.022574,6131954,6131954,1724286,28.1197,1920,1080,raygs,triangles,4,off,0,on,-4
