timestamp_ns,measurement_elapsed_ms,fps,frame_time_ms,frame_e2e_ms,total_ms,rank_ms,sort_ms,inverse_ms,projection_ms,rendering_ms,present_ms,total_splats,loaded_splats,visible_splats,visible_ratio,width,height,model_type,draw_method,msaa,vsync,mip_bias,mip_modulation,log_p_min
1781754001962526549,0,560.6,1.7838,1.81283,1.7927,0.249536,0.185856,0.046944,0.569344,0.741024,0.029894,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001964267979,1.74143,559.971,1.78581,1.70512,1.68374,0.139808,0.189472,0.046816,0.567296,0.740352,0.029776,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001965954956,3.42841,560.047,1.78557,1.69907,1.67686,0.134752,0.18704,0.047424,0.567296,0.740352,0.016034,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001967721883,5.19533,560.082,1.78545,1.70301,1.6817,0.135776,0.188096,0.047104,0.570368,0.740352,0.038875,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001969426689,6.90014,559.896,1.78605,1.70387,1.68173,0.13648,0.188448,0.047104,0.569344,0.740352,0.024538,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001971465835,8.93929,561.208,1.78187,1.87517,1.85219,0.135744,0.187168,0.046432,0.742688,0.74016,0.022683,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001973220041,10.6935,559.483,1.78736,1.7151,1.69203,0.149728,0.188736,0.047104,0.565248,0.741216,0.040694,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001974920894,12.3943,559.471,1.7874,1.70285,1.68035,0.135424,0.188448,0.047104,0.56832,0.741056,0.019565,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001976741341,14.2148,559.481,1.78737,1.74787,1.7256,0.136,0.187616,0.047232,0.6144,0.740352,0.04063,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001978742722,16.2162,559.098,1.78859,1.69706,1.67894,0.134816,0.187328,0.047104,0.56832,0.741376,0.027433,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001980401788,17.8752,559.5,1.78731,1.70704,1.6847,0.13968,0.18784,0.046464,0.56832,0.7424,0.016838,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001982129511,19.603,559.856,1.78617,1.70182,1.68,0.135456,0.189696,0.047104,0.566752,0.740992,0.025458,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
1781754001983877228,21.3507,559.849,1.7862,1.70163,1.68029,0.135808,0.1888,0.047008,0.56832,0.740352,0.034386,6131954,6131954,1262435,20.5878,1920,1080,raygs,triangles,1,off,0,on,-4
