timestamp_ns,measurement_elapsed_ms,fps,frame_time_ms,frame_e2e_ms,total_ms,rank_ms,sort_ms,inverse_ms,projection_ms,rendering_ms,present_ms,total_splats,loaded_splats,visible_splats,visible_ratio,width,height,model_type,draw_method,msaa,vsync,mip_bias,mip_modulation,log_p_min
1781754673955338184,0,844.255,1.18448,1.12038,1.10746,0.029888,0.0888,0.01536,0.1792,0.794208,0.02484,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673956511201,1.17302,844.178,1.18458,1.11923,1.10758,0.030048,0.089024,0.015616,0.178496,0.7944,0.027428,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673957642808,2.30462,846.265,1.18166,1.12141,1.10992,0.029792,0.088832,0.01536,0.181312,0.794624,0.025707,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673958812816,3.47463,847.777,1.17956,1.11917,1.1071,0.030016,0.088832,0.01536,0.178624,0.794272,0.033636,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673960056735,4.71855,847.748,1.1796,1.11968,1.1063,0.029472,0.088672,0.01536,0.1792,0.7936,0.020549,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673961251661,5.91348,846.987,1.18066,1.11962,1.10838,0.030432,0.08864,0.016384,0.178336,0.794592,0.042382,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673962399106,7.06092,846.408,1.18146,1.12083,1.10755,0.029632,0.088896,0.0152,0.1792,0.794624,0.029931,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673963484896,8.14671,846.045,1.18197,1.12006,1.10848,0.029856,0.089024,0.0152,0.180224,0.794176,0.015118,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673964630239,9.29205,847.935,1.17934,1.12083,1.10739,0.029792,0.088672,0.015552,0.1792,0.794176,0.024808,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673965783365,10.4452,848.534,1.1785,1.12051,1.10669,0.02928,0.089248,0.01536,0.1792,0.7936,0.031214,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673966968517,11.6303,847.93,1.17934,1.12157,1.1079,0.029344,0.088832,0.01536,0.180224,0.794144,0.037693,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673968075248,12.7371,848.161,1.17902,1.1232,1.1112,0.02992,0.08928,0.01536,0.181248,0.795392,0.017507,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673969377527,14.0393,848.362,1.17874,1.11936,1.10643,0.029184,0.08896,0.01536,0.178304,0.794624,0.027,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673970707826,15.3696,846.581,1.18122,1.12131,1.10758,0.030112,0.088608,0.01536,0.1792,0.794304,0.025171,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673971851445,16.5133,844.138,1.18464,1.12346,1.11181,0.035296,0.089088,0.015648,0.177152,0.794624,0.024728,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673972999677,17.6615,844.383,1.1843,1.12038,1.10816,0.030208,0.088832,0.01536,0.1792,0.79456,0.025653,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673974150135,18.812,846.032,1.18199,1.1192,1.10714,0.029632,0.089312,0.01536,0.178208,0.794624,0.026055,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673975305730,19.9675,847.75,1.17959,1.12038,1.10726,0.030176,0.089376,0.01536,0.178176,0.794176,0.027054,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673976572202,21.234,847.591,1.17981,1.11926,1.10669,0.029088,0.088896,0.01536,0.1792,0.794144,0.029646,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673977704918,22.3667,846.862,1.18083,1.12141,1.10877,0.030336,0.089248,0.01536,0.180224,0.7936,0.027773,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673978847064,23.5089,846.941,1.18072,1.12099,1.10803,0.029792,0.088864,0.01536,0.17952,0.794496,0.025701,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673979998745,24.6606,847.002,1.18063,1.12102,1.10938,0.030112,0.089056,0.01536,0.180224,0.794624,0.027518,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673981144020,25.8058,846.109,1.18188,1.11952,1.10774,0.029344,0.08848,0.016384,0.1792,0.794336,0.026324,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673982315252,26.9771,847.729,1.17962,1.12022,1.10867,0.030368,0.088544,0.01536,0.180224,0.794176,0.034114,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673983557928,28.2197,849.14,1.17766,1.12157,1.10838,0.03024,0.08896,0.01536,0.180224,0.7936,0.018922,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673984918148,29.58,847.711,1.17965,1.12022,1.10829,0.030016,0.088992,0.01536,0.17936,0.79456,0.028137,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673986164334,30.8261,845.419,1.18285,1.12346,1.10915,0.033888,0.08832,0.01536,0.177152,0.794432,0.024284,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673987308452,31.9703,844.094,1.1847,1.1223,1.10925,0.03072,0.089344,0.01536,0.1792,0.794624,0.024252,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673988461190,33.123,844.57,1.18403,1.12016,1.10736,0.029952,0.08928,0.01536,0.1792,0.793568,0.02662,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673989602361,34.2642,844.451,1.1842,1.12086,1.10755,0.029632,0.088448,0.015648,0.180224,0.7936,0.023929,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673990742772,35.4046,846.089,1.18191,1.12173,1.11014,0.029984,0.088928,0.01536,0.181248,0.794624,0.023877,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673991893765,36.5556,847.996,1.17925,1.12291,1.10979,0.029696,0.089152,0.01536,0.182272,0.793312,0.023474,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673993165009,37.8268,848.794,1.17814,1.12218,1.10925,0.029952,0.089056,0.01536,0.180384,0.794496,0.02588,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673994303444,38.9653,846.502,1.18133,1.11926,1.10774,0.030368,0.089184,0.01536,0.179232,0.7936,0.024283,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673995444032,40.1058,847.436,1.18003,1.12064,1.10742,0.029408,0.087808,0.01536,0.180384,0.794464,0.024046,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673996597664,41.2595,847.009,1.18062,1.12029,1.10717,0.030112,0.088896,0.01536,0.178176,0.794624,0.024728,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673997757435,42.4193,846.479,1.18136,1.12189,1.10781,0.029664,0.08896,0.014336,0.181248,0.7936,0.026089,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754673998889555,43.5514,847.741,1.17961,1.12176,1.10989,0.029504,0.08912,0.016384,0.180384,0.794496,0.023772,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674000035276,44.6971,847.955,1.17931,1.12022,1.1071,0.029984,0.08896,0.01536,0.1792,0.7936,0.025237,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674001189777,45.8516,847.967,1.17929,1.12173,1.10966,0.029472,0.08896,0.01536,0.181248,0.794624,0.025694,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674002611055,47.2729,847.988,1.17926,1.11949,1.1064,0.029888,0.089376,0.01536,0.178176,0.7936,0.037354,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674003812801,48.4746,844.855,1.18363,1.12259,1.11066,0.035456,0.089056,0.01536,0.176416,0.794368,0.01433,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674004970918,49.6327,844.195,1.18456,1.11894,1.1065,0.030368,0.088992,0.01536,0.178176,0.7936,0.024891,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674006113226,50.775,843.916,1.18495,1.11866,1.10672,0.029472,0.088512,0.01536,0.1792,0.794176,0.024491,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674007256817,51.9186,846.529,1.18129,1.11914,1.10822,0.029952,0.08848,0.01536,0.180224,0.794208,0.023953,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674008421971,53.0838,848.303,1.17882,1.14118,1.12851,0.030496,0.088448,0.015424,0.200704,0.79344,0.02529,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674009684952,54.3468,847.752,1.17959,1.12006,1.10819,0.029952,0.088832,0.015488,0.179584,0.794336,0.02867,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674010826322,55.4881,846.407,1.18146,1.11958,1.10771,0.0304,0.089248,0.01536,0.178176,0.794528,0.025021,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674011979376,56.6412,846.685,1.18108,1.12067,1.1081,0.029888,0.089024,0.01536,0.180224,0.7936,0.02538,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674013124209,57.786,847.011,1.18062,1.12064,1.10851,0.030048,0.089248,0.01536,0.179232,0.794624,0.024039,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674014274847,58.9367,847.105,1.18049,1.12,1.10806,0.029792,0.089088,0.01536,0.1792,0.794624,0.024024,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674015415128,60.0769,847.768,1.17957,1.12275,1.10986,0.030496,0.088128,0.01536,0.182272,0.7936,0.024124,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781754674016559112,61.2209,848.125,1.17907,1.11952,1.10806,0.029344,0.088672,0.016384,0.1792,0.794464,0.024196,1244819,1244819,392301,31.5147,1920,1080,raygs,triangles,1,off,0,on,-4
