timestamp_ns,measurement_elapsed_ms,fps,frame_time_ms,frame_e2e_ms,total_ms,rank_ms,sort_ms,inverse_ms,projection_ms,rendering_ms,present_ms,total_splats,loaded_splats,visible_splats,visible_ratio,width,height,model_type,draw_method,msaa,vsync,mip_bias,mip_modulation,log_p_min
1781754474459173414,0,684.389,1.46116,1.38835,1.37603,0.036032,0.092768,0.017408,0.202752,1.02707,0.02586,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
1781754474460590495,1.41708,684.096,1.46178,1.3857,1.37293,0.036416,0.092864,0.016896,0.200704,1.02605,0.027504,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
1781754474461954362,2.78095,687.11,1.45537,1.38496,1.37152,0.035712,0.092512,0.016384,0.199904,1.02701,0.026607,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
1781754474463360877,4.18746,687.754,1.45401,1.38749,1.37389,0.036832,0.092896,0.017408,0.200704,1.02605,0.025597,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
1781754474464872012,5.6986,687.721,1.45408,1.51075,1.49648,0.035552,0.092864,0.016384,0.325632,1.02605,0.016383,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
1781754474466306710,7.1333,686.568,1.45652,1.38624,1.37274,0.035936,0.0928,0.016384,0.200704,1.02691,0.033842,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
1781754474467700597,8.52718,686.551,1.45656,1.38669,1.37392,0.036384,0.093056,0.016704,0.200704,1.02707,0.0186,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
1781754474469116727,9.94331,687.587,1.45436,1.38803,1.37456,0.035968,0.092736,0.016384,0.202752,1.02672,0.024832,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
1781754474470551306,11.3779,687.526,1.45449,1.38749,1.37322,0.03648,0.092672,0.016384,0.200704,1.02698,0.035181,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
1781754474472118062,12.9446,687.461,1.45463,1.38829,1.37347,0.035936,0.092352,0.016384,0.202752,1.02605,0.017257,1593376,1593376,437481,27.4562,1920,1080,raygs,triangles,1,off,0,on,-4
