timestamp_ns,measurement_elapsed_ms,fps,frame_time_ms,frame_e2e_ms,total_ms,rank_ms,sort_ms,inverse_ms,projection_ms,rendering_ms,present_ms,total_splats,loaded_splats,visible_splats,visible_ratio,width,height,model_type,draw_method,msaa,vsync,mip_bias,mip_modulation,log_p_min
1781755674761202266,0,442.886,2.25792,2.16912,2.1529,0.061504,0.155008,0.031744,0.398336,1.5063,0.041549,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674763382325,2.18006,442.23,2.26127,2.16966,2.15549,0.059552,0.155456,0.032768,0.401408,1.5063,0.027128,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674765608296,4.40603,442.891,2.25789,2.17178,2.15763,0.059328,0.154752,0.031744,0.40448,1.50733,0.03464,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674767844762,6.6425,442.689,2.25892,2.16858,2.15354,0.058432,0.154112,0.032128,0.401824,1.50704,0.026067,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674770063088,8.86082,442.596,2.25939,2.17136,2.15757,0.059232,0.154784,0.031744,0.40448,1.50733,0.014349,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674772433260,11.231,442.674,2.259,2.17859,2.16464,0.070592,0.154432,0.031744,0.4008,1.50707,0.02572,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674774670620,13.4684,442.505,2.25986,2.17174,2.15773,0.062272,0.15712,0.032768,0.398336,1.50723,0.042466,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674776814439,15.6122,442.835,2.25818,2.16704,2.15194,0.058688,0.154816,0.031744,0.39936,1.50733,0.014747,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674779139899,17.9376,443.031,2.25718,2.17005,2.15485,0.05936,0.153984,0.031744,0.403456,1.5063,0.024435,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674781553958,20.3517,442.496,2.25991,2.16781,2.15341,0.058752,0.154496,0.032448,0.401408,1.5063,0.051926,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674783671662,22.4694,442.369,2.26056,2.16995,2.15491,0.059072,0.154176,0.031744,0.402592,1.50733,0.037901,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674785868639,24.6664,443.323,2.25569,2.16995,2.15571,0.059072,0.154112,0.031744,0.40448,1.5063,0.038132,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674788216962,27.0147,442.888,2.25791,2.16643,2.14938,0.059392,0.1536,0.031744,0.398336,1.5063,0.044094,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674790578328,29.3761,443.023,2.25722,2.16746,2.15411,0.058816,0.155072,0.032768,0.400384,1.50707,0.037689,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674792758944,31.5567,442.818,2.25826,2.17094,2.15523,0.061312,0.156064,0.032192,0.39936,1.5063,0.034982,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674795098580,33.8963,442.914,2.25777,2.16666,2.1512,0.058592,0.154176,0.032768,0.39936,1.5063,0.036654,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674797177807,35.9755,442.399,2.26041,2.17162,2.15568,0.059488,0.154656,0.032032,0.402432,1.50707,0.029979,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
1781755674799344347,38.1421,443.237,2.25613,2.16752,2.1512,0.059136,0.15488,0.031744,0.39936,1.50608,0.025678,2541226,2541226,979975,38.5631,1920,1080,gs,triangles,1,off,0,on,-4
