timestamp_ns,measurement_elapsed_ms,fps,frame_time_ms,frame_e2e_ms,total_ms,rank_ms,sort_ms,inverse_ms,projection_ms,rendering_ms,present_ms,total_splats,loaded_splats,visible_splats,visible_ratio,width,height,model_type,draw_method,msaa,vsync,mip_bias,mip_modulation,log_p_min
1781748636549289421,0,639.714,1.5632,1.4624,1.4464,0.061952,0.127296,0.024576,0.324608,0.907968,0.025523,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636550807067,1.51765,641.323,1.55928,1.46349,1.44682,0.06096,0.127648,0.024576,0.325632,0.908,0.051198,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636552258590,2.96917,641.382,1.55913,1.4583,1.4416,0.060896,0.127328,0.024576,0.321536,0.907264,0.016898,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636554284789,4.99537,641.427,1.55902,1.66262,1.64749,0.06288,0.12848,0.024576,0.523264,0.908288,0.026368,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636556004408,6.71499,638.786,1.56547,1.47376,1.45747,0.071008,0.12896,0.024576,0.32464,0.908288,0.025459,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636557535739,8.24632,637.041,1.56976,1.4687,1.45395,0.066176,0.12896,0.024896,0.325632,0.908288,0.062226,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636559037911,9.74849,636.832,1.57027,1.46157,1.44627,0.061088,0.126592,0.024576,0.325728,0.908288,0.061105,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636560598461,11.309,636.574,1.57091,1.58998,1.57571,0.061536,0.258016,0.024736,0.323584,0.90784,0.016088,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636562121270,12.8318,636.128,1.57201,1.46099,1.4457,0.061536,0.127712,0.024576,0.324608,0.907264,0.050346,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636563570709,14.2813,636.497,1.5711,1.46019,1.44358,0.060736,0.127424,0.024576,0.323584,0.907264,0.016357,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636565060553,15.7711,636.327,1.57152,1.45962,1.44522,0.061216,0.127552,0.0256,0.323584,0.907264,0.025982,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636566559903,17.2705,640.515,1.56124,1.4591,1.44326,0.060704,0.127136,0.024576,0.323584,0.907264,0.045426,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636568109602,18.8202,640.581,1.56108,1.45798,1.44275,0.061632,0.128768,0.024576,0.320512,0.907264,0.040479,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636569724035,20.4346,640.343,1.56166,1.4584,1.44358,0.060992,0.127328,0.024576,0.32256,0.908128,0.041935,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636571509888,22.2205,640.208,1.56199,1.46662,1.45152,0.064544,0.12848,0.0256,0.324608,0.908288,0.01576,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636573243441,23.954,637.955,1.56751,1.48234,1.46368,0.078816,0.127648,0.0256,0.323584,0.908032,0.057699,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636574741434,25.452,636.382,1.57138,1.46608,1.45187,0.065632,0.128704,0.0256,0.323648,0.908288,0.02983,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636576307138,27.0177,636.112,1.57205,1.45904,1.44403,0.061632,0.126976,0.024576,0.32256,0.908288,0.040006,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636577756681,28.4673,635.68,1.57312,1.46035,1.44557,0.06192,0.126976,0.0248,0.323584,0.908288,0.015143,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
1781748636579304439,30.015,635.865,1.57266,1.46035,1.44602,0.061216,0.127584,0.024576,0.324608,0.908032,0.055341,2541226,2541226,699211,27.5147,1920,1080,raygs,triangles,1,off,0,on,-4
