timestamp_ns,measurement_elapsed_ms,fps,frame_time_ms,frame_e2e_ms,total_ms,rank_ms,sort_ms,inverse_ms,projection_ms,rendering_ms,present_ms,total_splats,loaded_splats,visible_splats,visible_ratio,width,height,model_type,draw_method,msaa,vsync,mip_bias,mip_modulation,log_p_min
1781755747240795193,0,566.905,1.76396,1.6855,1.67034,0.056896,0.165568,0.038912,0.53248,0.87648,0.043639,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747242421316,1.62612,565.598,1.76804,1.68547,1.67037,0.056352,0.16608,0.038912,0.533504,0.87552,0.017747,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747244136936,3.34174,566.356,1.76567,1.68451,1.66845,0.056992,0.165824,0.038656,0.531456,0.87552,0.029349,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747246132141,5.33695,567.091,1.76339,1.89312,1.87683,0.056416,0.165504,0.03904,0.740352,0.87552,0.042279,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747247909583,7.11439,565.503,1.76834,1.80928,1.79469,0.056576,0.289152,0.039936,0.533504,0.87552,0.02727,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747249583669,8.78848,565.432,1.76856,1.6824,1.6673,0.056352,0.165056,0.038912,0.531456,0.87552,0.015912,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747251302310,10.5071,565.364,1.76877,1.68493,1.66941,0.056096,0.165344,0.038912,0.533536,0.87552,0.027046,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747252999307,12.2041,565.405,1.76864,1.68349,1.66893,0.05632,0.165024,0.039872,0.531456,0.876256,0.025135,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747254896233,14.101,567.797,1.76119,1.8112,1.7951,0.056448,0.165088,0.038912,0.659456,0.8752,0.039957,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747256557306,15.7621,566.403,1.76553,1.68397,1.66976,0.056192,0.165632,0.038912,0.53248,0.876544,0.015616,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747258287211,17.492,566.715,1.76456,1.68467,1.66944,0.055872,0.16592,0.038976,0.53248,0.876192,0.033661,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747259965250,19.1701,566.325,1.76577,1.6831,1.66714,0.056352,0.165728,0.039008,0.530816,0.875232,0.018469,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
1781755747261685952,20.8908,567.381,1.76248,1.68355,1.6697,0.0568,0.165984,0.038912,0.53248,0.87552,0.026059,2541226,2541226,1218050,47.9316,1920,1080,raygs,triangles,1,off,0,on,-4
