run_id,scene,resolution,model_type,draw_method,msaa,vsync,mip_bias,mip_modulation,log_p_min,fps_avg,fps_max,frame_time_avg_ms,frame_e2e_avg_ms,projection_avg_ms,rendering_avg_ms,visible_ratio_avg,total_splats,gpu_util_avg,gpu_util_max,vram_used_avg_mib,vram_used_max_mib,power_avg_w,power_max_w
bicycle_triangles_raygs_1280x720_msaa-off_mip-0_0_20260618-100856,bicycle,1280x720,raygs,triangles,1,off,0,on,-4,466.0669,482.1150,2.1459,2.0892,0.8506,0.7609,29.0080,6131954,89.7895,100.0000,2515.8421,4005.0000,223.6953,249.4600
bicycle_triangles_raygs_1920x1080_msaa-2x_mip-0_0_20260618-101108,bicycle,1920x1080,raygs,triangles,2,off,0,on,-4,263.8387,269.4070,3.7903,3.7636,0.9111,2.3813,29.0080,6131954,91.0526,100.0000,2581.7895,4071.0000,192.7405,216.9900
bicycle_triangles_raygs_1920x1080_msaa-4x_mip-0_0_20260618-101127,bicycle,1920x1080,raygs,triangles,4,off,0,on,-4,199.5490,206.6540,5.0116,4.9848,0.9306,3.5868,29.0080,6131954,93.2105,100.0000,2609.1053,4099.0000,169.2605,187.4500
bicycle_triangles_raygs_1920x1080_msaa-off_mip-0_05_20260618-101146,bicycle,1920x1080,raygs,triangles,1,off,0.05,on,-4,343.4448,355.9710,2.9119,2.8081,0.8790,1.4658,29.0080,6131954,91.0526,100.0000,2579.3158,4055.0000,215.7126,241.1000
bicycle_triangles_raygs_1920x1080_msaa-off_mip-0_0_20260618-100741,bicycle,1920x1080,raygs,triangles,1,off,0,on,-4,349.2794,361.8580,2.8632,2.7742,0.8662,1.4287,29.0080,6131954,90.6316,100.0000,2554.7368,4041.0000,204.4137,238.0300
bicycle_triangles_raygs_1920x1080_msaa-off_mip-0_0_20260618-100915,bicycle,1920x1080,raygs,triangles,1,off,0,on,-4,348.2976,360.3470,2.8712,2.7873,0.8742,1.4327,29.0080,6131954,89.8947,100.0000,2549.7895,4036.0000,214.2032,242.7900
bicycle_triangles_raygs_1920x1080_msaa-off_mip-0_0_20260618-101049,bicycle,1920x1080,raygs,triangles,1,off,0,on,-4,348.0226,360.6070,2.8735,2.7871,0.8746,1.4325,29.0080,6131954,93.9474,100.0000,2567.6316,4055.0000,219.3489,242.5800
bicycle_triangles_raygs_1920x1080_msaa-off_mip-0_10_20260618-101205,bicycle,1920x1080,raygs,triangles,1,off,0.1,on,-4,311.7348,356.3050,3.4140,2.8579,0.9190,1.4743,29.0080,6131954,81.0526,100.0000,2600.1579,4072.0000,196.0874,244.2400
bicycle_triangles_raygs_1920x1080_msaa-off_mip-0_20_20260618-101224,bicycle,1920x1080,raygs,triangles,1,off,0.2,on,-4,288.3947,296.4320,3.4677,3.3607,1.1800,1.6612,35.4534,6131954,89.7895,100.0000,2609.3158,4089.0000,213.8505,241.9100
bicycle_triangles_raygs_2560x1440_msaa-off_mip-0_0_20260618-100934,bicycle,2490x1376,raygs,triangles,1,off,0,on,-4,276.0077,286.2860,3.6233,3.5111,0.9105,2.1218,29.2365,6131954,89.8947,100.0000,2582.0526,4078.0000,214.4416,237.6200
bicycle_triangles_raygs_3840x2160_msaa-off_mip-0_0_20260618-100953,bicycle,2490x1376,raygs,triangles,1,off,0,on,-4,276.9253,284.8480,3.6113,3.5043,0.9037,2.1222,29.2365,6131954,89.8947,100.0000,2597.3158,4098.0000,214.5668,238.1700
bonsai_triangles_raygs_1920x1080_msaa-off_mip-0_0_20260618-100838,bonsai,1920x1080,raygs,triangles,1,off,0,on,-4,2506.1145,2615.2300,0.4000,0.3514,0.0207,0.2179,3.2493,1244819,94.4444,100.0000,2474.1667,2600.0000,168.8983,180.5100
garden_triangles_raygs_1920x1080_msaa-off_mip-0_0_20260618-100800,garden,1920x1080,raygs,triangles,1,off,0,on,-4,1713.5883,1755.4700,0.5840,0.5303,0.1229,0.1548,2.5214,5834784,93.0000,100.0000,2544.4737,3973.0000,181.1247,200.3900
room_triangles_raygs_1920x1080_msaa-off_mip-0_0_20260618-100820,room,1920x1080,raygs,triangles,1,off,0,on,-4,3339.7496,3595.0200,0.3013,0.2445,0.0109,0.1296,0.4573,1593376,93.5000,100.0000,2470.1111,2592.0000,151.5400,166.4200
truck_triangles_gs_1920x1080_msaa-off_mip-0_0_20260618-101012,truck,1920x1080,gs,triangles,1,off,0,on,-4,628.7714,646.7920,1.5905,1.5067,0.3098,0.9527,27.5147,2541226,89.7778,100.0000,2482.6111,2610.0000,198.5300,214.9300
truck_triangles_raygs_1280x720_msaa-off_mip-0_0_20260618-100529,truck,1280x720,raygs,triangles,1,off,0,on,-4,903.7095,924.6020,1.1066,1.0695,0.3444,0.4723,27.5147,2541226,67.8000,100.0000,2130.2000,2546.0000,144.4320,227.5100
truck_triangles_raygs_1920x1080_msaa-off_mip-0_0_20260618-101030,truck,1920x1080,raygs,triangles,1,off,0,on,-4,642.5284,662.1370,1.5565,1.4742,0.3252,0.9100,27.5147,2541226,94.6667,100.0000,2480.6111,2603.0000,220.6167,235.8500
